29 Jan,3
30 Jan,3
31 Jan,3
1 Feb,2
2 Feb,0
3 Feb,0
4 Feb,6
5 Feb,4
6 Feb,2
7 Feb,3
8 Feb,7
9 Feb,4
10 Feb,1
11 Feb,2
12 Feb,3
13 Feb,8
14 Feb,9
15 Feb,5
16 Feb,3
17 Feb,2
18 Feb,4
19 Feb,3
20 Feb,1
21 Feb,1
22 Feb,3
23 Feb,0
24 Feb,1
25 Feb,1
26 Feb,2
27 Feb,3
28 Feb,2
29 Feb,4
1 Mar,4
2 Mar,2
3 Mar,2
4 Mar,2
5 Mar,5
6 Mar,13
7 Mar,8
8 Mar,12
9 Mar,10
10 Mar,6
11 Mar,12
12 Mar,9
13 Mar,13
14 Mar,12
15 Mar,14
16 Mar,17
17 Mar,23
18 Mar,47
19 Mar,32
20 Mar,40
21 Mar,47
22 Mar,23
23 Mar,54
24 Mar,49
25 Mar,73
26 Mar,52
27 Mar,49
28 Mar,70
29 Mar,42
30 Mar,35
31 Mar,47
1 Apr,74
2 Apr,49
3 Apr,65
4 Apr,75
5 Apr,120
6 Apr,66
7 Apr,106
8 Apr,142
9 Apr,287
10 Apr,198
11 Apr,191
12 Apr,233
13 Apr,386
14 Apr,334
15 Apr,447
16 Apr,728
17 Apr,623
18 Apr,942
19 Apr,596
20 Apr,1426
21 Apr,1111
22 Apr,1016
23 Apr,1037
24 Apr,897
25 Apr,618
26 Apr,931
27 Apr,799
28 Apr,528
29 Apr,690
30 Apr,528
1 May,932
2 May,447
3 May,657
